Gene,Direction,Occurrence
ENSG00000116741,Positive,6
ENSG00000167768,Positive,6
ENSG00000126803,Positive,6
ENSG00000151789,Negative,6
ENSG00000183695,Positive,6
ENSG00000026297,Positive,6
ENSG00000100678,Positive,6
ENSG00000067113,Positive,6
ENSG00000132329,Positive,6
ENSG00000171657,Positive,6
ENSG00000221955,Positive,6
ENSG00000145649,Positive,6
ENSG00000069535,Positive,6
ENSG00000137801,Negative,6
ENSG00000135318,Positive,6
ENSG00000138061,Positive,6
ENSG00000186522,Positive,6
ENSG00000106366,Negative,6
ENSG00000265107,Positive,6
ENSG00000137501,Positive,6
ENSG00000073756,Positive,6
ENSG00000168386,Positive,6
ENSG00000168209,Positive,6
ENSG00000164867,Positive,6
ENSG00000277734,Positive,6
ENSG00000165092,Positive,6
ENSG00000187513,Negative,6
ENSG00000249242,Positive,6
ENSG00000133636,Positive,6
ENSG00000186049,Positive,6
ENSG00000127074,Positive,6
ENSG00000145649,Negative,6
ENSG00000165092,Negative,6
ENSG00000167768,Negative,6
ENSG00000137501,Negative,6
ENSG00000069535,Negative,6
ENSG00000249242,Negative,6
ENSG00000137801,Positive,6
ENSG00000183695,Negative,6
ENSG00000127074,Negative,6
ENSG00000100678,Negative,6
ENSG00000106366,Positive,6
ENSG00000186049,Negative,6
ENSG00000187513,Positive,6
ENSG00000164867,Negative,6
